Motif,cell_ids
"['PFC', 'ORB', 'AUD', 'ACA', 'RSC']",[2088]
"['PFC', 'ORB', 'AUD', 'PTL', 'VIS']","[330, 366, 441, 1478, 1871, 2040, 2045, 2052, 2339, 2393]"
"['PFC', 'ORB', 'AUD', 'VIS', 'RSC']","[777, 797, 953, 1300, 1902, 2703]"
"['PFC', 'ORB', 'ACA', 'PTL', 'VIS']",[2519]
"['PFC', 'ORB', 'ACA', 'VIS', 'RSC']","[803, 1799, 2011]"
"['PFC', 'ORB', 'PTL', 'VIS', 'RSC']","[1196, 2947]"
"['PFC', 'SS', 'AUD', 'ACA', 'VIS']","[94, 299, 414, 602, 1747, 2123, 2318]"
"['PFC', 'SS', 'AUD', 'ACA', 'RSC']",[464]
"['PFC', 'SS', 'AUD', 'PTL', 'VIS']","[246, 359, 400, 1128, 1210, 1921, 2057, 2373]"
"['PFC', 'SS', 'AUD', 'VIS', 'RSC']","[217, 500, 950, 1039, 1286, 2382, 2731, 2949]"
"['PFC', 'SS', 'ACA', 'PTL', 'VIS']",[2713]
"['PFC', 'SS', 'ACA', 'PTL', 'RSC']",[2711]
"['PFC', 'SS', 'ACA', 'VIS', 'RSC']","[817, 2925]"
"['PFC', 'SS', 'PTL', 'VIS', 'RSC']","[378, 763, 879, 888, 990, 1296, 1483, 2297, 2644, 2764]"
"['PFC', 'AUD', 'ACA', 'PTL', 'RSC']",[2923]
"['PFC', 'AUD', 'ACA', 'VIS', 'RSC']","[465, 475, 753, 1440, 2658, 2782, 2817]"
"['PFC', 'AUD', 'PTL', 'VIS', 'RSC']","[638, 1744, 1956, 2451, 2470, 2692, 2970]"
"['PFC', 'ACA', 'PTL', 'VIS', 'RSC']","[993, 2858]"
"['ORB', 'SS', 'AUD', 'ACA', 'PTL']","[715, 913]"
"['ORB', 'SS', 'AUD', 'ACA', 'VIS']","[106, 2469]"
"['ORB', 'SS', 'AUD', 'PTL', 'VIS']","[17, 252, 265, 316, 325, 467, 470, 609, 643, 891, 951, 1081, 1111, 1184, 1186, 1270, 1281, 1389, 1501, 1648, 1659, 1735, 1822, 1931, 1945, 1980, 2041, 2064, 2127, 2128, 2214, 2260, 2293, 2316, 2386, 2392, 2718, 2868, 2939, 2999]"
"['ORB', 'SS', 'AUD', 'PTL', 'RSC']",[1028]
"['ORB', 'SS', 'AUD', 'VIS', 'RSC']","[99, 506, 553, 577, 654, 662, 670, 750, 792, 835, 901, 1213, 1334, 1348, 1465, 1715, 2263, 2687, 2704, 2706, 2795, 2827]"
"['ORB', 'SS', 'ACA', 'PTL', 'VIS']","[59, 2748]"
"['ORB', 'SS', 'PTL', 'VIS', 'RSC']","[66, 166, 179, 425, 552, 858, 871, 947, 975, 1006, 1030, 1037, 1048, 1122, 1273, 1302, 1312, 1360, 1401, 1443, 1486, 1658, 1843, 1904, 2147, 2530, 2661, 2729, 2830, 2882, 3004]"
"['ORB', 'AUD', 'ACA', 'PTL', 'VIS']","[518, 1427, 2624]"
"['ORB', 'AUD', 'ACA', 'VIS', 'RSC']","[279, 418, 1405, 1572, 1700]"
"['ORB', 'AUD', 'PTL', 'VIS', 'RSC']","[37, 75, 137, 144, 212, 369, 429, 519, 963, 1295, 1370, 1520, 1538, 1558, 1561, 1604, 1621, 1779, 1825, 1837, 1845, 1870, 1881, 1940, 1987, 2019, 2247, 2287, 2306, 2453, 2707, 2758, 2937, 2979]"
"['ORB', 'ACA', 'PTL', 'VIS', 'RSC']","[186, 592, 1680, 2745, 2981]"
"['SS', 'AUD', 'ACA', 'PTL', 'VIS']","[68, 432, 708, 775, 1045, 1068, 1742, 1849, 2149]"
"['SS', 'AUD', 'ACA', 'VIS', 'RSC']","[450, 943, 960, 1171, 2447, 2495, 2537, 2668, 2911]"
