"PFC","ORB","MO","SS","AUD","ACA","PTL","VIS","RSC","brain"
9.29032258064516,1.47692307692308,5.76,10.8474576271186,0,0,0,23.04,0,"two"
6.19354838709677,2.95384615384615,0,0,0,0,0,0,0,"two"
21.6774193548387,10.3384615384615,17.28,6.50847457627119,1.6271186440678,2.56,7.83673469387755,7.68,0,"two"
3.09677419354839,5.90769230769231,11.52,0,0,0,0,0,0,"two"
9.29032258064516,8.86153846153846,15.36,44.4745762711864,39.0508474576271,5.12,0,12.288,3.55555555555556,"two"
0,7.38461538461539,9.6,9.76271186440678,0,0,7.83673469387755,0,32,"two"
3.09677419354839,1.47692307692308,1.92,0,6.50847457627119,0,0,0,0,"two"
0,0,0,1.08474576271186,11.3898305084746,0,0,0,0,"two"
21.6774193548387,4.43076923076923,0,0,0,0,0,0,0,"two"
0,0,0,9.76271186440678,3.25423728813559,0,0,0,0,"two"
0,2.95384615384615,1.92,11.9322033898305,0,0,0,0,0,"two"
0,7.38461538461539,0,0,0,0,0,1.536,0,"two"
27.8709677419355,5.90769230769231,1.92,2.16949152542373,6.50847457627119,0,0,0,0,"two"
6.19354838709677,1.47692307692308,0,0,0,0,0,0,0,"two"
6.19354838709677,2.95384615384615,0,1.08474576271186,0,0,3.91836734693878,19.968,10.6666666666667,"two"
0,0,0,0,6.50847457627119,0,0,0,0,"two"
34.0645161290323,17.7230769230769,24.96,1.08474576271186,0,2.56,0,0,0,"two"
68.1290322580645,35.4461538461538,1.92,8.67796610169492,4.88135593220339,0,0,0,0,"two"
27.8709677419355,7.38461538461539,3.84,0,0,0,0,0,0,"two"
9.29032258064516,0,19.2,0,0,10.24,0,0,5.33333333333333,"two"
40.258064516129,13.2923076923077,0,0,0,0,0,0,0,"two"
21.6774193548387,4.43076923076923,0,1.08474576271186,0,0,0,0,0,"two"
6.19354838709677,13.2923076923077,0,0,0,0,0,1.536,0,"two"
27.8709677419355,17.7230769230769,0,1.08474576271186,4.88135593220339,0,7.83673469387755,7.68,1.77777777777778,"two"
71.2258064516129,56.1230769230769,28.8,8.67796610169492,1.6271186440678,5.12,0,0,0,"two"
71.2258064516129,4.43076923076923,0,0,0,0,0,0,0,"two"
18.5806451612903,0,0,0,0,0,0,0,0,"two"
37.1612903225806,19.2,13.44,4.33898305084746,9.76271186440678,0,0,4.608,0,"two"
18.5806451612903,0,36.48,14.1016949152542,1.6271186440678,0,27.4285714285714,3.072,0,"two"
0,0,0,33.6271186440678,34.1694915254237,0,3.91836734693878,67.584,14.2222222222222,"two"
9.29032258064516,4.43076923076923,5.76,4.33898305084746,0,2.56,3.91836734693878,6.144,0,"two"
114.58064516129,1.47692307692308,0,0,0,7.68,0,0,0,"two"
0,0,1.92,5.42372881355932,0,0,0,4.608,0,"two"
6.19354838709677,1.47692307692308,1.92,0,0,2.56,0,0,1.77777777777778,"two"
0,0,1.92,5.42372881355932,1.6271186440678,0,0,0,0,"two"
