cluster_index,projecting,region,Effect_Size,p-value
47,0,VIS,-2.321928094887362,1.0947970474347087e-05
47,0,RSC,-2.321928094887362,1.0947970474347087e-05
48,0,PFC,-1.3219280948873622,0.0020249026100731316
48,1,ORB,-1.3219280948873622,0.0020249026100731316
48,1,MO,-1.3219280948873622,0.0020249026100731316
48,0,SS,-1.3219280948873622,0.0020249026100731316
48,0,ACA,-1.3219280948873622,0.0020249026100731316
48,0,PTL,-1.3219280948873622,0.0020249026100731316
48,1,VIS,-1.3219280948873622,0.0020249026100731316
48,0,RSC,-1.3219280948873622,0.0020249026100731316
49,0,PFC,-3.321928094887362,1.5195076416081302e-07
49,1,ORB,-3.321928094887362,1.5195076416081302e-07
49,1,MO,-3.321928094887362,1.5195076416081302e-07
49,0,SS,-3.321928094887362,1.5195076416081302e-07
49,0,ACA,-3.321928094887362,1.5195076416081302e-07
49,0,PTL,-3.321928094887362,1.5195076416081302e-07
49,0,VIS,-3.321928094887362,1.5195076416081302e-07
49,1,RSC,-3.321928094887362,1.5195076416081302e-07
50,0,PFC,-3.321928094887362,1.5195076416081302e-07
50,1,ORB,-3.321928094887362,1.5195076416081302e-07
50,0,MO,-3.321928094887362,1.5195076416081302e-07
50,1,SS,-3.321928094887362,1.5195076416081302e-07
50,1,ACA,-3.321928094887362,1.5195076416081302e-07
50,0,PTL,-3.321928094887362,1.5195076416081302e-07
50,0,VIS,-3.321928094887362,1.5195076416081302e-07
50,0,RSC,-3.321928094887362,1.5195076416081302e-07
51,0,PFC,-1.3219280948873622,0.0020249026100731316
51,1,ORB,-1.3219280948873622,0.0020249026100731316
51,0,MO,-1.3219280948873622,0.0020249026100731316
51,1,SS,-1.3219280948873622,0.0020249026100731316
51,0,ACA,-1.3219280948873622,0.0020249026100731316
51,1,PTL,-1.3219280948873622,0.0020249026100731316
51,0,VIS,-1.3219280948873622,0.0020249026100731316
51,0,RSC,-1.3219280948873622,0.0020249026100731316
52,0,PFC,0.963474123974886,0.00015033004206808394
52,1,ORB,0.963474123974886,0.00015033004206808394
52,0,MO,0.963474123974886,0.00015033004206808394
52,1,SS,0.963474123974886,0.00015033004206808394
52,0,ACA,0.963474123974886,0.00015033004206808394
52,0,PTL,0.963474123974886,0.00015033004206808394
52,1,VIS,0.963474123974886,0.00015033004206808394
52,0,RSC,0.963474123974886,0.00015033004206808394
53,0,PFC,-3.321928094887362,1.5195076416081302e-07
53,1,ORB,-3.321928094887362,1.5195076416081302e-07
53,0,MO,-3.321928094887362,1.5195076416081302e-07
53,1,SS,-3.321928094887362,1.5195076416081302e-07
53,0,ACA,-3.321928094887362,1.5195076416081302e-07
53,0,PTL,-3.321928094887362,1.5195076416081302e-07
53,0,VIS,-3.321928094887362,1.5195076416081302e-07
53,1,RSC,-3.321928094887362,1.5195076416081302e-07
54,0,PFC,-2.321928094887362,1.0947970474347087e-05
54,1,ORB,-2.321928094887362,1.0947970474347087e-05
54,0,MO,-2.321928094887362,1.0947970474347087e-05
54,0,SS,-2.321928094887362,1.0947970474347087e-05
54,1,ACA,-2.321928094887362,1.0947970474347087e-05
54,0,PTL,-2.321928094887362,1.0947970474347087e-05
54,1,VIS,-2.321928094887362,1.0947970474347087e-05
54,0,RSC,-2.321928094887362,1.0947970474347087e-05
55,0,PFC,-2.321928094887362,1.0947970474347087e-05
55,1,ORB,-2.321928094887362,1.0947970474347087e-05
55,0,MO,-2.321928094887362,1.0947970474347087e-05
55,0,SS,-2.321928094887362,1.0947970474347087e-05
55,1,ACA,-2.321928094887362,1.0947970474347087e-05
55,0,PTL,-2.321928094887362,1.0947970474347087e-05
55,0,VIS,-2.321928094887362,1.0947970474347087e-05
55,1,RSC,-2.321928094887362,1.0947970474347087e-05
56,0,PFC,-0.07400058144377693,0.9092134049798473
56,1,ORB,-0.07400058144377693,0.9092134049798473
56,0,MO,-0.07400058144377693,0.9092134049798473
56,0,SS,-0.07400058144377693,0.9092134049798473
56,0,ACA,-0.07400058144377693,0.9092134049798473
56,1,PTL,-0.07400058144377693,0.9092134049798473
56,1,VIS,-0.07400058144377693,0.9092134049798473
56,0,RSC,-0.07400058144377693,0.9092134049798473
57,0,PFC,0.963474123974886,0.00015033004206808394
57,1,ORB,0.963474123974886,0.00015033004206808394
57,0,MO,0.963474123974886,0.00015033004206808394
57,0,SS,0.963474123974886,0.00015033004206808394
57,0,ACA,0.963474123974886,0.00015033004206808394
57,0,PTL,0.963474123974886,0.00015033004206808394
57,1,VIS,0.963474123974886,0.00015033004206808394
57,1,RSC,0.963474123974886,0.00015033004206808394
58,0,PFC,-2.321928094887362,1.0947970474347087e-05
58,0,ORB,-2.321928094887362,1.0947970474347087e-05
58,1,MO,-2.321928094887362,1.0947970474347087e-05
58,1,SS,-2.321928094887362,1.0947970474347087e-05
58,1,ACA,-2.321928094887362,1.0947970474347087e-05
58,0,PTL,-2.321928094887362,1.0947970474347087e-05
58,0,VIS,-2.321928094887362,1.0947970474347087e-05
58,0,RSC,-2.321928094887362,1.0947970474347087e-05
59,0,PFC,-1.7369655941662063,0.00023005971323514097
59,0,ORB,-1.7369655941662063,0.00023005971323514097
59,1,MO,-1.7369655941662063,0.00023005971323514097
59,1,SS,-1.7369655941662063,0.00023005971323514097
59,0,ACA,-1.7369655941662063,0.00023005971323514097
59,1,PTL,-1.7369655941662063,0.00023005971323514097
59,0,VIS,-1.7369655941662063,0.00023005971323514097
59,0,RSC,-1.7369655941662063,0.00023005971323514097
60,0,PFC,0.13750352374993502,0.7322571395967323
60,0,ORB,0.13750352374993502,0.7322571395967323
60,1,MO,0.13750352374993502,0.7322571395967323
60,1,SS,0.13750352374993502,0.7322571395967323
60,0,ACA,0.13750352374993502,0.7322571395967323
60,0,PTL,0.13750352374993502,0.7322571395967323
60,1,VIS,0.13750352374993502,0.7322571395967323
60,0,RSC,0.13750352374993502,0.7322571395967323
61,0,PFC,-2.736965594166206,1.2026239729890036e-06
61,0,ORB,-2.736965594166206,1.2026239729890036e-06
61,1,MO,-2.736965594166206,1.2026239729890036e-06
61,0,SS,-2.736965594166206,1.2026239729890036e-06
61,1,ACA,-2.736965594166206,1.2026239729890036e-06
61,0,PTL,-2.736965594166206,1.2026239729890036e-06
61,1,VIS,-2.736965594166206,1.2026239729890036e-06
61,0,RSC,-2.736965594166206,1.2026239729890036e-06
62,0,PFC,-2.736965594166206,1.2026239729890036e-06
62,0,ORB,-2.736965594166206,1.2026239729890036e-06
62,1,MO,-2.736965594166206,1.2026239729890036e-06
62,0,SS,-2.736965594166206,1.2026239729890036e-06
62,1,ACA,-2.736965594166206,1.2026239729890036e-06
62,0,PTL,-2.736965594166206,1.2026239729890036e-06
62,0,VIS,-2.736965594166206,1.2026239729890036e-06
62,1,RSC,-2.736965594166206,1.2026239729890036e-06
63,0,PFC,-2.0,5.4152910397594726e-05
63,0,ORB,-2.0,5.4152910397594726e-05
63,1,MO,-2.0,5.4152910397594726e-05
63,0,SS,-2.0,5.4152910397594726e-05
63,0,ACA,-2.0,5.4152910397594726e-05
63,1,PTL,-2.0,5.4152910397594726e-05
63,1,VIS,-2.0,5.4152910397594726e-05
63,0,RSC,-2.0,5.4152910397594726e-05
64,0,PFC,0.070389327891398,0.8206549198234152
64,0,ORB,0.070389327891398,0.8206549198234152
64,1,MO,0.070389327891398,0.8206549198234152
64,0,SS,0.070389327891398,0.8206549198234152
